hai,salam
halo,salam
selamat pagi,salam
selamat siang,salam
selamat sore,salam
selamat malam,salam
permisi,salam
halo selamat pagi,salam
halo selamat sore,salam
halo selamat siang,salam
halo selamat malam,salam
perkenalkan nama saya saya ingin menanyakan sesuatu,salam
perkenalkan saya dari tim dan sekolah ingin menanyakan sesuatu,salam
siang,salam
pagi,salam
sore,salam
malam,salam
halo apa kabar,salam
bagaimana kabar anda,salam
saya ingin bertanya sesuatu,salam
ada yang ingin saya tanyakan,salam
apa kabar,salam
siapa anda,salam
Bagaimana riwayat perintah salat?, perintah shalat
apa ayat tentang sholat,perintah shalat
Bagaimana perintah sholat,perintah shalat
kapan kita harus sholat,perintah shalat
Apa itu makmum masbuk dan bagaimana hukum makmum yang gerakannya mendahului imam?,masbuk dan mendahului imam
Apa itu makmum masbuk,masbuk dan mendahului imam
Apakah boleh sholat mendahului imam,masbuk dan mendahului imam
bagaimana hukum orang yang mendahului imam,masbuk dan mendahului imam
Pentingkah meluruskan dan merapatkan saf dan apa hukumnya bagi yang melalaikan?,meluruskan saf
hukum meluruskan shaf,meluruskan saf
bagaimana perintah meluruskan saf,meluruskan saf
apakah harus merapatkan saf sholat,meluruskan saf
Apa yang harus makmum lakukan jika imam sudah menyelesaikan bacaannya dan melanjutkan ke gerakan berikutnya sedangkan makmum masih belum menyelesaikan bacaan?,imam terlalu cepat
makmum belum selesai membaca bacaan sholat,imam terlalu cepat
makmum tertinggal gerakan sholat imam,imam terlalu cepat
bagaimana jika makmum tertinggal dalam sholat,imam terlalu cepat
bagaimana jika imam terlalu cepat sehingga makmum tertinggal dalam sholat,imam terlalu cepat
Rasulullah menjamak salatnya?,jamak shalat
apakah boleh menjamak sholat,jamak shalat
bagaimana cara menjamak sholat,jamak shalat
syarat sholat boleh dijamak,jamak shalat
Berdoa baiknya menggunakan bahasa yang kita mengerti atau Bahasa Arab?,bahasa doa
membaca doa menggunakan bahasa indonesia,bahasa doa
apakah boleh berdoa tidak bahasa arab,bahasa doa
Bolehkah menangis tersedu-sedu saat salat?,menangis shalat
saat sholat apakah boleh menangis,menangis shalat
apakah batal menangis saat sholat,menangis shalat
bagaimana jika menangis ketika shoalt dilakukan,menangis shalat
Apa yang dilakukan makmum  saat imam membaca ayat/surat pendek?,imam membaca surat pendek
apa yang harus dibaca makmum ketika imam membaca surat pendek,imam membaca surat pendek
ketika imam membaca surat pendek apa yang harus dilakukan makmum,imam membaca surat pendek
Apa hukum salat Jumat bolong-bolong?,hukum shalat jumat
Bagaimana hukum sholat tidak teratur,hukum shalat jumat
bagaimana jika saya kadang sholat jumat kadang tidak,hukum shalat jumat
bagaimana jika saya tidak bisa sholat jumat,hukum shalat jumat
siapa orang yang boleh meninggalkan sholat jumat,hukum shalat jumat
Apakah benar hari Jumat untuk wanita salat Zuhurnya harus menunggu sampai pria selesai salat Jumat?,waktu shalat jumat
apakah boleh wanita sholat pada hari jumat setelah adzan,waktu shalat jumat
bagaimana jika wanita sholat tidak menunggu laki-laki selesai sholat jumat,waktu shalat jumat
Apakah berwudu saat ber-make up tebal sah?, make up wudhu
bolehkah wudu' menggunakan make up,make up wudhu
apakah sah jika wudu' menggunakan make up,make up wudhu
Bolehkah salat tarawih sendirian?,tarawih sendirian
bagaimana hukum sholat tarawih tidak berjamaah,tarawih sendirian
apakah bisa terawih sendirian,tarawih sendirian
Bolehkah membaca surat pendek berulang-ulang setelah al-Fatihah pada waktu salat tarawih di rakaat berikutnya?,membaca surat pendek berulang
bagaimana jika membaca bacaan pendek berulang ketika sholat,membaca surat pendek berulang
ketika sholat apakah boleh membaca surat pendek berulang kali,membaca surat pendek berulang
Bagaimana hukum salat di kediaman keluarga yang non muslim? Apakah salat sah?,shalat di tempat non muslim
apakah sah jika sholat dirumah orang beragama lain,shalat di tempat non muslim
bolehkah sholat ditempat orang non muslim,shalat di tempat non muslim
Apakah sah salat jika pikiran melayang?,shalat tidak fokus
bagaimana jika ketika sholat pikiran terganggu,shalat tidak fokus
apakah boleh sholat namun pikiran tidak khusyuk,shalat tidak fokus
 Bagaimana hukum mengqodho salat saat sakit?,mengqodho salat saat sakit
apakah boleh mengqadha sholat,mengqodho salat saat sakit
siapa saja orang yang boleh mengqadha salat,mengqodho salat saat sakit
Bagaimana jika ketika shalat ditengah  lupa rakaat? Apa harus diulang?,shalat lupa rakaat
apa yang harus dilakukan ketika lupa di rokaat berapa,shalat lupa rakaat.
bagaimana jika lupa rokaat dalam sholat,shalat lupa rakaat
makmum ketinggalan baca fatihah karena imam sholat terlalu cepat,fatihah imam cepat
imam terlalu cepat bacaan sehingga makmum ketinggalan,fatihah imam cepat
imam terlalu cepat membaca alfatihah,fatihah imam cepat
bagaimana jika makmum ketinggalan membaca alfatihah,fatihah imam cepat
Bagaimana hukumnya membaca doa dengan bahasa Indonesia (‘ajam) di dalam shalat,bahasa shalat
Bagaimana jika bacaan shalat bahasa indonesia, bahasa shalat
membaca doa shalat bukan bahasa arab, bahasa shalat
Bolehkah memperagakan sholat khouf sholat istisqo' umpamanya di dalam acara latihan dan sebagainya ? apakah tidak termasuk mempermainkan ibadah?, memperagakan sholat khouf
sholat khouf diperagakan apakah boleh,memperagakan sholat khouf
bagaimana hukum mempraktekkan sshalat khouf,memperagakan sholat khouf
adakah Al Qur’an atau Al Hadist atau keterangan-keterangan muktabar yang menerangkan gugurnya sholat dhuhur dengan menjalankan sholat jum’at, shalat jumat tanpa shalat duhur
apakah jika shalat jumat kita tidak perlu shalat duhur, shalat jumat tanpa shalat duhur
